구분,항목,내용,원본파일,원본행
출제 및 채점,문제 형태,주관식,수집된DB/대표DB.csv,17
출제 및 채점,시험 문제,단일 문제,수집된DB/대표DB.csv,17
출제 및 채점,문제 형태,주관식,수집된DB/대표DB.csv,17
출제 및 채점,"주관식중 
번역 객관적평가",문장부호수,수집된DB/대표DB.csv,17
출제 및 채점,"주관식중 
프롬프트 주관적평가",수정단어수,수집된DB/대표DB.csv,17
출제 및 채점,채점 방식,"휴먼평가 
1차 : 60-70점대만",수집된DB/대표DB.csv,17
출제 및 채점,단답형,프롬프트 시험,수집된DB/대표DB.csv,18
출제 및 채점,문제수,"주관식 5개중
 학생 공용 2개 분야 2개 선택",수집된DB/대표DB.csv,18
출제 및 채점,채점방식,휴먼 채점,수집된DB/대표DB.csv,18
출제 및 채점,채점 상태,채점 완료,수집된DB/대표DB.csv,18
출제 및 채점,명확성,충분성,수집된DB/대표DB.csv,18
출제 및 채점,출제 상태,출제 완료,수집된DB/대표DB.csv,18
출제 및 채점,레벨확인,상중하,수집된DB/대표DB.csv,18
출제 및 채점,교시,3교시,수집된DB/대표DB.csv,18
출제 및 채점,배당점수,100,수집된DB/대표DB.csv,18
출제 및 채점,단계,1,수집된DB/대표DB.csv,18
출제 및 채점,파일 종류,URL,수집된DB/대표DB.csv,18
출제 및 채점,난이도,하,수집된DB/대표DB.csv,18
출제 및 채점,문제 형태,단답형,수집된DB/대표DB.csv,18
출제 및 채점,문제 형태,주관식,수집된DB/대표DB.csv,18
출제 및 채점,"주관식중 
번역 객관적평가",전체 문장수,수집된DB/대표DB.csv,18
출제 및 채점,"주관식중 
프롬프트 주관적평가",단계,수집된DB/대표DB.csv,18
출제 및 채점,채점 방식,"휴먼평가 
2차: 50-80점대만",수집된DB/대표DB.csv,18
출제 및 채점,채점 상태,승인 완료,수집된DB/대표DB.csv,19
출제 및 채점,명확성,개방성,수집된DB/대표DB.csv,19
출제 및 채점,출제 상태,승인 완료,수집된DB/대표DB.csv,19
출제 및 채점,문제 형태,설문,수집된DB/대표DB.csv,19
출제 및 채점,"주관식중 
번역 객관적평가",전제 문자수,수집된DB/대표DB.csv,19
출제 및 채점,"주관식중 
프롬프트 주관적평가",파일종류,수집된DB/대표DB.csv,19
출제 및 채점,정보성/정확도,적절성,수집된DB/대표DB.csv,20
출제 및 채점,명확성,상황정보/단서,수집된DB/대표DB.csv,20
출제 및 채점,출제 상태,저장(출제 중),수집된DB/대표DB.csv,20
출제 및 채점,문제 형태,OX,수집된DB/대표DB.csv,20
출제 및 채점,"주관식중 
번역 객관적평가",유사어,수집된DB/대표DB.csv,20
출제 및 채점,"주관식중 
프롬프트 주관적평가",출제파일,수집된DB/대표DB.csv,20
출제 및 채점,단답형,윤리 시험,수집된DB/대표DB.csv,21
출제 및 채점,문제수,객관식 20문제,수집된DB/대표DB.csv,21
출제 및 채점,명확성,일관성-표현,수집된DB/대표DB.csv,21
출제 및 채점,레벨확인,상중하,수집된DB/대표DB.csv,21
출제 및 채점,시험 유형,주관식,수집된DB/대표DB.csv,21
출제 및 채점,문제 형태,"객관식(4지선다, 단답형, OX)",수집된DB/대표DB.csv,21
출제 및 채점,"주관식중 
프롬프트 주관적평가",총문항수,수집된DB/대표DB.csv,21
출제 및 채점,명확성,복잡성-길이구조,수집된DB/대표DB.csv,22
출제 및 채점,시험 유형,번역,수집된DB/대표DB.csv,22
출제 및 채점,문제 형태,보고서작성- 설문,수집된DB/대표DB.csv,22
출제 및 채점,명확성,오류분석,수집된DB/대표DB.csv,23
출제 및 채점,명확성,"색조및 문체,응답서식",수집된DB/대표DB.csv,24
출제 및 채점,문제 형태,"여론조사형-
설문",수집된DB/대표DB.csv,24
출제 및 채점,명확성,일관성-표현,수집된DB/대표DB.csv,25
출제 및 채점,정보성/정확도,효율성,수집된DB/대표DB.csv,26
출제 및 채점,명확성,쳬계성,수집된DB/대표DB.csv,26
출제 및 채점,단답형,4,수집된DB/대표DB.csv,27
출제 및 채점,명확성,수용성,수집된DB/대표DB.csv,27
출제 및 채점,단답형,관리 시스템,수집된DB/대표DB.csv,28
출제 및 채점,명확성,적용부문,수집된DB/대표DB.csv,28
시험 일정과 처리 상태,합격점수,급수별 70점이상,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,성적 발표일,시험치고16일후,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,상태,진행중,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,번역,109개언어 -> 109개언어,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,작업 단위,글자수,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,중립-편견없슴,안전,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,접수일,3주,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,접수완료,시험전 10일 전,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,시험일,"3월, 5월, 9월,
12월 2째주 토요일",수집된DB/대표DB.csv,30
시험 일정과 처리 상태,출제 일,접수완료후,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,출제 완료,시험 5일전,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,채점,시험후 10일,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,채점완료,시험후13일,수집된DB/대표DB.csv,30
시험 일정과 처리 상태,상태,임시 저장,수집된DB/대표DB.csv,31
시험 일정과 처리 상태,작업 단위,시간당,수집된DB/대표DB.csv,31
시험 일정과 처리 상태,상태,진행완료,수집된DB/대표DB.csv,32
시험 일정과 처리 상태,작업 단위,장당,수집된DB/대표DB.csv,32
시험 일정과 처리 상태,상태,자동완료,수집된DB/대표DB.csv,33
시험 일정과 처리 상태,작업 단위,문항당,수집된DB/대표DB.csv,33
시험 일정과 처리 상태,상태,진행취소,수집된DB/대표DB.csv,34
시험 일정과 처리 상태,작업 단위,갯수,수집된DB/대표DB.csv,34
시험 일정과 처리 상태,상태,자동 + 휴먼완료,수집된DB/대표DB.csv,35
시험 일정과 처리 상태,작업 단위,횟수(전화화상),수집된DB/대표DB.csv,35
시험 일정과 처리 상태,상태,휴먼완료,수집된DB/대표DB.csv,36
시험 일정과 처리 상태,작업 단위,회당(시험),수집된DB/대표DB.csv,36
시험 일정과 처리 상태,상태,승인완료,수집된DB/대표DB.csv,38
